"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Neogene sedimentary rocks","conglomerate","Mwy","Conglomerate composed mainly of pebble- and boulder-size clasts of dolerite and spilitic basalt with less common sedimentary cla"," ","15_undifSed"
"Neogene igneous rocks","basalt","Mvm","Olivine and olivine-augite basalt to pyroxene basalt and basaltic andesite flows, pyroclastites, dikes and sills."," ","18_crystalline"
"Neogene igneous rocks","tuff","Mcm","Rhyodacitic within lithic-volcanic to lithic sedimentary deposits."," ","18_crystalline"
"Neogene sedimentary rocks","sand","Pup","Pumiceous mud, sand and gravel with muddy peat and lignite: rhyolite pumice, including non-welded ignimbrite, tephra and alluvia"," ","15_undifSed"
"Neogene igneous rocks","sinter","Mct","Quartz sinter, forming terraces and plugs."," ","18_crystalline"
"Neogene igneous rocks","andesite","Mkw","Pyroxene andesite and hornblende andesite agglomerate and breccia.","Waiheke unit","18_crystalline"
"Late Pleistocene - Holocene igneous rocks","basalt","Qval","Grey to very dark grey, dense, fine grained olivine basalt or basanite lava flows.","Auckland volcanic field lava","18_crystalline"
"Late Pleistocene - Holocene igneous rocks","tuff","Qvat","Lithic tuff, comprising comminuted pre-volcanic materials with basaltic fragments, and unconsolidated ash and lapilli deposits o","Auckland volcanic field ash, lapilli and lithic tuff","18_crystalline"
"Neogene sedimentary rocks","sandstone","Mwt+Mwr","Macrofossiliferous, massive or weakly bedded, calcareous sandstone."," ","15_undifSed"
"Neogene sedimentary rocks","volcanic sandstone","Mtn","Submarine volcaniclastic grit, sandstone and siltstone."," ","17_volcanic"
"Late Pleistocene - Holocene igneous rocks","basalt","Qvas","Red or red-brown to dark grey, poorly-sorted, vesicular, pebble- to boulder-sized ejecta of basaltic or basanitic composition.","Auckland volcanic field scoria","18_crystalline"
"Holocene human-made deposits","fill","Q1nr","Crushed and buried refuse in landfill areas.","Refuse landfill","04_fill"
"Neogene igneous rocks","basalt","Mtw","Basalt flows, pillow lavas, hyaloclastites and associated intrusives, with minor basic andesite."," ","18_crystalline"
"Neogene sedimentary rocks","volcanic conglomerate","Mtt","Local channel-fill volcanic conglomerate and sandstone."," ","17_volcanic"
"Neogene sedimentary rocks","volcanic conglomerate","Mtp","Stratified, submarine andesitic breccio-conglomerate with minor grit, sandstone and siltstone."," ","17_volcanic"
"Basement (Eastern Province) sedimentary rocks","conglomerate","Jma","Coarse, feldspathic and lithic volcanic allochthonous conglomerate and sandstone, with minor bedded siltstone/mudstone."," ","15_undifSed"
"Neogene igneous rocks","andesite","Mtl","Andesite flows and pyroclastics, plugs, diatremes, clastic dikes, shallow intrusives and crater-fills, with minor flow-banded da"," ","18_crystalline"
"Neogene igneous rocks","andesite","Mci","Andesite, dacite and rhyodacite flows and domes with intercalated tuff, tuff breccia and volcaniclastic sediments. Local, non-we"," ","18_crystalline"
"Neogene sedimentary rocks","volcanic sandstone","Mtn+Mtp","Submarine volcaniclastic grit, sandstone and siltstone."," ","17_volcanic"
"Neogene igneous rocks","andesite","Mco","Andesite and dacite intrusives and lava flows with minor intercalated tuff and tuff breccias."," ","18_crystalline"
"Neogene igneous rocks","basaltic andesite","Mkm","Pyroxene basaltic andesite, pyroxene andesite, hornblende andesite and hornblende dacite breccia, agglomerate, tuff, lava and di","Miranda unit","18_crystalline"
"Early Pleistocene - Late Pleistocene igneous rocks","basalt","Qvsl","Fine-grained and coarse-grained, porphyritic, olivine basalt, basanite and hawaiite lava flows.","South Auckland Volcanic field lava","18_crystalline"
"Early Pleistocene - Late Pleistocene igneous rocks","tuff","Qvst","Lithic tuff, comprising comminuted pre-volcanic materials with basaltic fragments, and unconsolidated ash and lapilli deposits o","South Auckland Volcanic field ash, lapilli and lithic tuff","18_crystalline"
"Early Pleistocene - Late Pleistocene igneous rocks","basalt","Qvss","Red or red-brown to dark grey, poorly-sorted, vesicular, pebble- to boulder-sized ejecta of basaltic, basanitic or hawaiitic com","South Auckland Volcanic field scoria","18_crystalline"
"Paleogene sedimentary rocks","mudstone","Etw","Carbonaceous mudstone and claystone with coal seams, minor sandstone and rare conglomerate."," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Mwt","Macrofossiliferous, massive or weakly bedded, calcareous sandstone."," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","Jm","Massive fine to medium sandstone with interbedded siltstone, argillite and conglomerate."," ","15_undifSed"
"Holocene river deposits","gravel","Q1al","Alluvial gravel, sand, silt, mud and clay with local peat; includes modern river beds.","Holocene alluvium","06_alluvium"
"Neogene sedimentary rocks","volcanic conglomerate","Mtp~","Stratified, submarine andesitic breccio-conglomerate with minor grit, sandstone and siltstone."," ","17_volcanic"
"Neogene sedimentary rocks","turbidite","Mwe~","Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits."," ","15_undifSed"
"Paleogene sedimentary rocks","siltstone","Otm","Massive siltstone, mudstone and claystone, with interbedded glauconitic muddy fine sandstone."," ","15_undifSed"
"Neogene sedimentary rocks","turbidite","Mwa","Alternating, graded sandstone and mudstone, with interbedded, thin volcaniclastic grits."," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Mwm","Massive, non-calcareous, fine to coarse sandstone and thin sandy mudstone, with carbonaceous fragments and abundant volcanic gla"," ","15_undifSed"
"Neogene sedimentary rocks","volcanic sandstone","Mwc~","Thick-bedded, graded, pebbly and gritty volcanic sandstone and thin-bedded fine sandstone and siltstone."," ","17_volcanic"
"Neogene sedimentary rocks","sandstone","Mww","Calcareous, glauconitic fine to medium sandstone with minor siltstone and tuff: locally concretionary near base."," ","15_undifSed"
"Paleogene sedimentary rocks","siltstone","Oti","Massive, glauconitic, calcareous siltstone, locally with a thin basal greensand."," ","15_undifSed"
"Neogene sedimentary rocks","siltstone","Mwk","Calcareous, sandy siltstone with minor fine sandstone and tuff beds."," ","15_undifSed"
"Holocene human-made deposits","fill","Q1nm","Compacted mine waste in backfilled opencast pits and overburden landfill areas.","Mine waste","04_fill"
"Late Pleistocene - Holocene igneous rocks","rhyolite","Qvmt","Peralkaline rhyolite lava flows and domes"," ","18_crystalline"
"Late Pleistocene - Holocene igneous rocks","pyroclastics","Qvmo","Pyroclastic pumice deposits"," ","18_crystalline"
"Paleogene sedimentary rocks","sandstone","Otg","Calcareous fine sandstone, siltstone and basal glauconitic, sandy limestone or greensand."," ","15_undifSed"
"Early Pleistocene - Middle Pleistocene river deposits","sand","eQk","Highly weathered, coarse pumiceous and rhyolitic sands and current-bedded grits, with interbedded peat and local gravels."," ","06_alluvium"
"Holocene river deposits","gravel","Q1af","Structureless, bouldery deposits to sandy gravels of variable lithology.","Terrestial fan deposits","10_fan"
"Basement (Eastern Province) sedimentary rocks","siltstone","Jn","Predominantly siltstone with minor sandstone and shell beds. Well-bedded sandstone and siltstone,  and minor conglomerate in low"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","sandstone","mJr","Well-bedded fine sandstone and siltstone, with thick sandstone and siltstone and minor conglomerate near base, and coarse tuffac"," ","15_undifSed"
"Neogene igneous rocks","andesite","Mca","Andesitic and dacitic lava flows and domes, intrusives, tuff and tuff breccias, volcaniclastic sediments, and welded dacitic ign"," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","siltstone","Jk","Predominantly massive siltstone with common, thin tuff beds. Interbedded sandstone near top and base: rare grit and conglomerate"," ","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","siltstone","lJa","Siltstone, sandstone and conglomerate, carbonaceous near top."," ","15_undifSed"
"Paleogene - Neogene sedimentary rocks","siltstone","Ott","Massive calcareous sandy siltstone to silty fine sandstone, locally with a thin basal muddy limestone."," ","15_undifSed"
"Neogene igneous rocks","ignimbrite","Pho","Welded, pumic-rich ignimbrite."," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","siltstone","lJh","Alternating siltstone, sandstone and conglomerate with abundant plant fragments and rare thin coals: predominantly non-marine."," ","15_undifSed"
"Paleogene sedimentary rocks","siltstone","Ota","Calcareous sandy siltstone with interbedded concretionary sandstone and basal, cross-bedded or flaggy, glauconitic limestone."," ","15_undifSed"
"Early Pleistocene - Middle Pleistocene river deposits","sand","mQm","Pumiceous, alluvial gravel, sand and mud with peat. Estuarine silt and mud, and minor beach sand interbedded with ignimbrite and"," ","06_alluvium"
"Neogene sedimentary rocks","clay","Puw","Slightly pumiceous clays, with lignite, gravel and some pure pumice silt and sand."," ","15_undifSed"
"Late Pleistocene windblown deposits","sand","lQd","Reddish to dark brown muddy sand and clay-rich sandy paleosols, with rhyolitic ash and pumice lapilli in the upper part.","Dunes and associated facies","11_loess"
"Neogene sedimentary rocks","sand","eQat","Rhyolitic terrace deposits around Tauranga Harbour"," ","15_undifSed"
"Late Pleistocene river deposits","sand","Q3ah","Cross-bedded pumice sand, silt and gravel with interbedded peat"," ","06_alluvium"
"Holocene river deposits","sand","Q1at","Pumice sand, silt and gravel with charcoal fragments."," ","06_alluvium"
"Neogene sedimentary rocks","siltstone","Phr","Lacustrine siltstone, mudstone, tuffaceous sandstone and conglomerate."," ","15_undifSed"
"Middle Pleistocene - Late Pleistocene river deposits","gravel","lQaf","Structureless, bouldery deposits to sandy gravels of variable lithology.","Terrestrial fan deposits","10_fan"
"Neogene igneous rocks","basaltic andesite","Mkt","Pyroxene basaltic andesite and pyroxene andesite lava and breccia.","Tahuna unit","18_crystalline"
"Holocene estuary deposits","mud","Q1ae","Sand, silt mud and clay with local gravel and peat beds.","Estuarine deposits","05_fluvialEstuarine"
"Early Pleistocene - Late Pleistocene igneous rocks","basalt","Qvn","Fine-grained, porphyritic olivine hawaiite lavas, dikes, volcanic breccias and scoria cones."," ","18_crystalline"
"Early Pleistocene - Middle Pleistocene river and igneous deposits","ignimbrite","eQai","Alluvium dominated by primary and reworked, non-welded ignimbrite.","Alluvial deposits dominated by p","06_alluvium"
"Basement (Eastern Province) sedimentary rocks","siltstone","Tn","Fossiliferous siltstone with interbedded fine to coarse sandstone and thin tuff beds; common zeolite veins.","Newcastle Group (Late Triassic)","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pk","Pumiceous, shelly, calcareous sandstone, ovelain by pumiceous, carbonaceous sandstone with andesite and basalt pebbles, and orga"," ","15_undifSed"
"Paleogene sedimentary rocks","sandstone","Otg","Massive, calcareous fine sandstone and siltstone with a basal flaggy glauconitic limestone or greensand."," ","15_undifSed"
"Holocene river deposits","pumice","Q1at","Predominantly pumice sand, silt and gravel alluvium with charcoal fragments.","Pumice alluvium","06_alluvium"
"Early Pleistocene igneous rocks","basalt","Qvn","Fine-grained porphyritic olivine basalt (hawiite) lava."," ","18_crystalline"
"Early Pleistocene - Middle Pleistocene river deposits","gravel","mQam","Poorly to moderately sorted gravel with minor sand and silt underlying terraces; includes minor fan deposits and loess","alluvial terrace deposits (Auck*","16_terrace"
"Paleogene sedimentary rocks","siltstone","Otm","Massive siltstone and mudstone, with glauconitic, muddy sandstone beds; common siderite concretions near base."," ","15_undifSed"
"Neogene sedimentary rocks","sandstone","Pad","Moderately to poorly consolidated, dune-bedded sandstone with minor parallel and ripple-laminated sandstone paleosols, lignite a"," ","15_undifSed"
"Pliocene igneous rocks","andesite","Pva","Andesite volcanics on offshore islands","(offshore islands)","18_crystalline"
"Paleogene sedimentary rocks","mudstone","Etw","Carbonaceous mudstone with muddy quartzose sandstone, carbonaceous shale, coal seams and rare conglomerates; siderite concretion"," ","15_undifSed"
"Early Pleistocene - Middle Pleistocene river deposits","gravel","mQam","Poorly to moderately sorted gravel with minor sand and silt underlying terraces; includes minor fan deposits and loess","alluvial terrace deposits","16_terrace"
"Paleogene sedimentary rocks","siltstone","Oti","Massive, calcareous siltstone, commonly glauconitic, with rare, thin sandstone and muddy limestone beds; near basal sandy limest"," ","15_undifSed"
"Late Pleistocene river deposits","sand","Q2ah","Cross-bedded pumice sand, silt and gravel with interbedded peat."," ","06_alluvium"
"Basement (Eastern Province) sedimentary rocks","siltstone","Jn","Predominantly fossiliferous siltstone with minor sandstone, conglomerate and shell beds.","Newcastle Group (Early Jurassic)","15_undifSed"
"Basement (Eastern Province) sedimentary rocks","siltstone","lJh","Carbonaceous siltstone, sandstone and conglomerate with abundant plant fragments and rare thin coals."," ","15_undifSed"
"Holocene swamp deposits","peat","Q1as","Soft, dark brown to black, organic mud, muddy peat and woody peat with minor overbank sand, silt and mud.","Holocene swamp deposits and peat","01_peat"
"Neogene igneous rocks","ignimbrite","lPwt","Crystal-rich dacitic welded ignimbrite"," ","18_crystalline"
"Holocene igneous rocks","andesite","lQwc","andesite to dacite lava, scoria and tuff of the active Central cone","Central cone [White Island]","18_crystalline"
